,0
462,"Lil Durk Presents: Only the Family Involved, Vol. 2"
463,cold/mess
464,Bhediya (Original Motion Picture Soundtrack)
465,Bright: The Album
466,F-1 Trillion
467,LOOK AT ME: THE ALBUM
468,Gangs of Wasseypur 2 (Original Motion Picture Soundtrack)
469,Purpose (Deluxe)
470,Voicenotes
471,Meet the Woo 2
472,Watch the Throne
473,HOWSLA
474,Coke Studio India Season 3: Episode 6
475,Don't Look Up (Soundtrack from the Netflix Film)
476,Slime & B
477,? (Deluxe)
478,+ (Deluxe Version)
479,American Beauty / American Psycho
480,18 Months
481,Where Are Ü Now (with Justin Bieber) [Remixes] - EP
482,Stree 2 (Original Motion Picture Soundtrack) - EP
483,Naalayak - EP
484,Ludo (Original Motion Picture Soundtrack)
485,Take Care (Deluxe Version)
486,Jaago
487,Ajab Prem Ki Ghazab Kahani (Original Motion Picture Soundtrack)
488,Believe (Deluxe Edition)
489,Ocean Eyes (The Remixes) - EP
490,Kapoor & Sons (Since 1921) [Original Motion Picture Soundtrack]
491,As She Pleases
492,Sunoh
493,Midnight Hour - EP
494,Trench
495,Barbie The Album
496,Punk
497,FAR FROM OVER - EP
498,Side A - EP
499,LOVE FOR GUALA
500,Someone's EP II
501,Destined 2 Win
502,Culture III
503,Take a Look At Those Cakes
504,Vultures 1
505,DIAMANTE
506,Bollywood Unwind - Romantic Classics in a Relaxing Urban Avatar
507,MEEN
508,"At Night, Alone."
509,Ascend
510,Young Rich N*ggas
511,Songs of Love
512,SAVAGE MODE II [CHOPPED NOT SLOPPED]
513,Successi 2023 - Solo Hits
514,Angrezi Medium (Original Motion Picture Soundtrack)
515,KARAM
516,Good Intentions
517,Shock Value
518,Highway (Original Motion Picture Soundtrack)
519,Dhan Dhana Dhan Goal (Original Motion Picture Soundtrack)
520,Joytime
521,Native
522,Meteora (Deluxe Edition)
523,For All The Dogs
524,The Aviary
525,Baazaar (Original Motion Picture Soundtrack) - EP
526,Legends Never Die
527,Manic
528,Romantic Hero - Rishi Kapoor
529,Agneepath (Original Motion Picture Soundtrack)
530,Huqa Pani
531,Phir Dhoom
532,Blurryface
533,Skunk in the Cellar - EP
534,Long Way Down
