,Album ID,Title,Date Created,Date Created In Library,Visible,Catalog Identifiers - Album,Favorite Album - Status,Favorite Album - Date
248,l.7gMkHTv,Pursuit of Happiness (feat. MGMT & Ratatat) [Extended Steve Aoki Remix] - Single,2021-09-24T02:44:36Z,2021-09-24T02:44:36Z,True,1445167292,,
250,l.7lLUJYj,Paradise - Single,2024-10-10T03:59:17Z,2024-10-10T03:59:17Z,True,1689215392,,
251,l.7oZ73q1,Kahaani (feat. Pavithra Chari) - Single,2021-05-29T18:40:45Z,2021-05-29T18:40:45Z,True,1710799412,,
253,l.7r846M4,I LUV IT (feat. Playboi Carti) - Single,2024-03-27T18:00:11Z,2024-03-27T18:00:11Z,False,,,
254,l.7tKER0n,Stay a While (Ummet Ozcan Remix) - Single,2022-11-01T20:20:35Z,2022-11-01T20:20:35Z,True,1137153984,,
259,l.8D6Pbe5,Até o Fim - Single,2024-09-10T02:01:42Z,2024-09-10T02:01:42Z,True,1778455814,,
264,l.8ItCk54,We Rollin - Single,2023-06-15T18:20:08Z,2023-06-15T18:20:08Z,True,1635085630,,
265,l.8MymDiu,"She’s Gone, Dance On - Single",2024-10-24T14:20:55Z,2024-10-24T14:20:55Z,True,1747616877,,
267,l.8QD8fsv,Blow - Single,2023-02-15T08:07:07Z,2023-02-15T08:07:07Z,False,,,
268,l.8UmtA1i,Mi Amor - Single,2023-07-27T04:06:35Z,2023-07-27T04:06:35Z,False,,,
270,l.8XVNBbn,Light It Up (feat. Nyla & Fuse ODG) [Ritviz Diwali Edition] - Single,2022-11-27T18:03:41Z,2022-11-27T18:03:41Z,False,,,
272,l.8Yty5oB,"Enzo (feat. Offset, 21 Savage & Gucci Mane) - Single",2022-09-22T08:01:47Z,2022-09-22T08:01:47Z,True,1459917818,,
274,l.8akwKKz,10 Pe 10 - Single,2022-11-24T17:29:37Z,2022-11-24T17:29:37Z,True,1655766766,,
275,l.8eJggW6,Under The Influence - Single,2023-07-06T19:40:06Z,2023-07-06T19:40:06Z,True,1643755888,,
276,l.8etmHBf,If It Ain't Love - Single,2024-11-14T23:35:04Z,2024-11-14T23:35:04Z,True,1097221246,,
278,l.8nKokRj,MATTE GLOSS (feat. Rae Stones) - Single,2023-08-29T22:39:55Z,2023-08-29T22:39:55Z,True,1526618243,,
279,l.8qm2qcc,Liquor & Cigarettes (feat. ArrDee) - Single,2023-12-21T07:28:16Z,2023-12-21T07:28:16Z,True,1707151882,,
280,l.8rnfJyh,Happy Endings (feat. iann dior and UPSAHL) - Single,2021-10-27T19:19:50Z,2021-10-27T19:19:50Z,True,1553564909,,
